C,avg_roll_logloss_model,avg_roll_logloss_baseline,avg_roll_delta,n_windows_used
0.001,0.5334213928061081,0.5274822751918892,0.005939117614218947,4
0.002,0.5338407666699426,0.5274822751918892,0.006358491478053452,4
0.005,0.5345356640313643,0.5274822751918892,0.00705338883947515,4
0.01,0.5349860152394926,0.5274822751918892,0.007503740047603458,4
0.02,0.5353756376944206,0.5274822751918892,0.007893362502531476,4
0.05,0.5356022330734936,0.5274822751918892,0.008119957881604467,4
0.1,0.5356765498259066,0.5274822751918892,0.008194274634017451,4
0.2,0.5357320104936577,0.5274822751918892,0.008249735301768535,4
0.5,0.5357583303939915,0.5274822751918892,0.008276055202102284,4
1.0,0.5357654146353146,0.5274822751918892,0.008283139443425402,4
2.0,0.535768892033478,0.5274822751918892,0.008286616841588823,4
5.0,0.5357709581311434,0.5274822751918892,0.008288682939254222,4
10.0,0.5357716434444042,0.5274822751918892,0.008289368252515028,4
